title,price,artwork_detail,edition_detail,dimensions,,,,,,,
The Chinese Gamble, å£6--000.00, Silkscreen, Signed Limited Edition of 5, 120cm x 120cm,,,,,,,
Dream Come True, å£300.00, Silkscreen, Giclee and Glazes, Limited Edition of 75, 56cm x 76cm,,,,,,
Queen Victoria, POA, Silkscreen Print, Unsigned Limited Edition of 500, 50cm x 70cm,,,,,,,
Found You, å£4--000.00, Neon and Perspex, Signed Limited Edition of 3, 90cm x 90cm,,,,,,,
Best of British, SOLD, A Single Cabinet of Felt British Food Made Up of Felt, Acrylic and Thread, Limited Edition of 50, Complete with Signed CertificateåÊof Authenticity, 77cm x 60cm x 12cm,,,,,
Sun Flowers, å£2--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 63cm x 83cm,,,,,,
Billie-Ray, å£395.00, Giclee with Silkscreen and Silver Leaf , Signed Limited Edition of 50, 65cm x 89cm,,,,,,,
Vipera Lebetina, å£4--800.00, Silkscreen with Glazes,  Signed Limited Edition of 100, 63.5cm x 70cm,,,,,,,
Marcel Duchamp‰Ûªs World Tour ‰ÛÒ DC Thomson Reunion at the Tower Ballroom Blackpool , å£2--450.00, Silkscreen Print, Signed Limited Edition of 100, 90cm X 75cm,,,,,,,
Warhol Interview-- Time Out 1971, å£1--800.00, Colour Chip Collage on Giclee Print, Signed Limited Edition of 5, 78cm x 104cm (Framed),,,,,,,
Untitled VI-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
You and Me-- Bob , å£995.00, Glass Print, Signed Limited Edition of 10, 87cm x 65cm,,,,,,,
Liberty ‰ÛÒ Blue-- Orange, SOLD, Silkscreen Print, Signed Limited Edition of 25  , 112cm x 44cm (Framed),,,,,,,
Sorry , SOLD, Giclee Print, Signed Limited Edition of 125, 53.5cm x 58.5cm,,,,,,,
Destroy the Four Olds II, å£6--000.00, Silkscreen, Signed Limited Edition of 5, 83cm x 103cm,,,,,,,
Gorilla, å£600.00, Giclee Print, Signed Limited Edition of 50, 76cm x 76cm,,,,,,,
Recycling Bins, å£1--200.00, Silkscreen Print, Signed Limited Edition of 50, 50cm x 50cm,,,,,,,
From The City To The Sea, å£500.00, Giclee Print, Limited Edition of 50, 100cm x 72cm,,,,,,,
Happiness Ahead, SOLD, Neon and Perspex, Signed Original , 60cm x 120cm,,,,,,,
'Til Death Do Us Part, å£2--650.00, A Single Cabinet of Felt Poison Bottles Made Up of Felt, Acrylic and Thread, Limited Edition of 50, Complete with Signed CertificateåÊof Authenticity, 77cm x 60cm x 12cm,,,,,
Sun Flower Surprise, å£2--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 63cm x 83cm,,,,,,
Bankskeleton_a, å£1--500.00, Mixed Media Sculpture, Signed Limited Edition of 10, 15cm x 25cm x 10cm,,,,,,,
Vespula Vidua, å£5--700.00, Silkscreen with Glazes, Signed Limited Edition of 100, 111.8cm X 92.7cm,,,,,,,
Marcel Duchamp's World Tour- New Year's Eve Parade at The Tower Ballroom-- Blackpool, å£1--950.00, Silkscreen Print, Signed Limited Edition of 100, 90cm X 75cm,,,,,,,
Warhol Interview (Golf Leaf) --Time Out 1971, å£2--000.00, Colour Chip Collage on Giclee Print, Signed Limited Edition of 5, 78cm x 104cm (Framed),,,,,,,
Soup Can Original Colour, POA, Screenprint, Limited Edition of 250, 35cm x 50cm,,,,,,,
Untitled VII-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
Enchanting Sounds , POA, Silkscreen Print, Signed Limited Edition of 40, 106cm x 106cm ,,,,,,,
Delicious-- Bob, å£995.00, Glass Print, Signed Limited Edition of 10, 87cm x 65cm,,,,,,,
Cubes, å£2--500.00, Wood Concrete and Metal, Limited Edition of 100, 12cm x 12cm  cubed ,,,,,,,
It is my Heartfelt Desire to Improve But I Never Do, SOLD, Silkscreen, Signed Limited Edition of 23, 87cm x 82cm,,,,,,,
Wireless Mic, å£1--200.00, Silkscreen Print, Signed Limited Edition of 50, 50cm x 50cm,,,,,,,
Caravan, å£500.00, Giclee Print, Limited Edition of 50, 100cm x 73cm,,,,,,,
Ace of Hearts, å£4--000.00, Neon and Perspex, Signed Limited Edition of 3, 60cm x 90cm,,,,,,,
In Pursuit of Happiness, å£3--000.00, Felt, Acrylic, and Thread, Limited Edition of 5. Signed Felt Certificate of Authenticity, 68cm x 49cm x 7cm,,,,,
Piranha Posy, å£2--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 63cm x 83cm,,,,,,
Mickey Imbecile Balloon, å£1--500.00, Mixed Media Sculpture, Signed Limited Edition of 10, 22cm x Diameter 15cm,,,,,,,
Untitled, SOLD, Silkscreen Hand Painted Multiple of 2, Signed , 120cm x 160cm (Framed),,,,,,,
Six Pills Small, å£3--400.00, Glass Print, Signed Limited Edition of 75, 31.8cm x 43.4cm,,,,,,,
Untitled VIII-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
Virgin Mary (Toxic Mary), SOLD, Silkscreen Print, Unsigned Limited Edition of 600, 50cm x 70cm,,,,,,,
Lotus , POA, Silkscreen Print, Signed Limited Edition of 40, ,,,,,,,
Its Not What You Think, å£995.00, Glass Print, Signed Limited Edition of 10, 87cm x 65cm,,,,,,,
The Only Thing I'm Sure of Is That I'm Sure of Nothing, SOLD, Silkscreen, Signed Limited Edition of 23, 87 x 82cm,,,,,,,
Shrinkage, å£2--400.00, Cabinet of Shop Products Made Up of Felt, Acrylic, and Thread, Limited Edition of 50, Signed Felt Certificate of Authenticity , 77cm x 60cm x 12cm,,,,
Electric Toothbrush, å£1--200.00, Silkscreen Print, Signed Limited Edition of 50, 50cm x 50cm,,,,,,,
Sometimes it‰Ûªs a yes (Red on Black), å£1--200.00, Lightbox, Signed Limited Edition of 5, 25cm x 70cm,,,,,,,
Alana (silver), å£200.00, Giclee Print with Silver Metallic screen on Coldpress archival paper, Signed Limited Edition of 70, 65cm x 67cm,,,,,,,
Two Pills Small, å£3--400.00, Glass Print, Signed Limited Edition of 125, 37.9cm x 52.8cm,,,,,,,
Untitled IX-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
I Love You Very Much, å£8--000.00, Silkscreen and Mixed Media, Signed Limited Edition of 25, 115cm x 51cm,,,,,,,
Long Play, POA, Silkscreen Print, Signed Limited Edition of 40, 106cm x 106cm,,,,,,,
Rabbit-- Gold Leaf, SOLD, Giclee with Silkscreen, Varnish and 22 Carrat Gold, Signed, Limited Edition of 30, 109cm x 109cm,,,,,
God's Gift, SOLD, Silkscreen, Signed Limited Edition of 35, 40.6cm x 32.4cm,,,,,,,
Barcode, POA, Silkscreen Print, Limited Edition of 600, 50cm x 70cm,,,,,,,
Sometimes it‰Ûªs a yes (Green), å£1--200.00, Lightbox, Signed Limited Edition of 5, 25cm x 70cm,,,,,,,
Lost In Space, SOLD, Spray Paint on 3 Layers of Glass with 1970‰Ûªs Lego Moon board on Aluminium Background in Custom Painted Frame, Unique, Signed &amp; Numbered 1/1 Verso, 63cm x 63cm,,,,,,
Subdiego, å£360.00, Giclee and Silkscreen, Signed Limited Edition of 50, 81cm x 57cm ,,,,,,,
Black Utopia 2012, å£8--400.00, Giclee with UV Varnish and Foilblock , Signed Limited Edition of 55, 71cm x 86.5cm,,,,,,,
Obey Lotus Crescent - Black and Gold , å£1--500.00, Silkscreen with Diamond Dust , Signed Limited Edition of 75, 87.3cm x 66.4cm,,,,,,,
Untitled X-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
Pink Bob, å£850.00, Image Floating on 10mm Clear Glass, Limited Edition of 10, 82cm x 62cm,,,,,,,
Lobster Suite, å£2--000.00, Lithograph, Silkscreen, Etching and Digital Print, Limited Edition of 50, 16.8cm X 11.5cm,,,,,
Fox-- Gold Leaf, å£2--500.00, Giclee with Silkscreen, Varnish and 22 Carrat Gold, Signed Limited Edition of 30, 109cm x 109cm,,,,,,
Dignity Rides A Tricky Pony, å£495.00, Giclee and Silkscreen, Signed Limited Edition of 200, 87cm x 82cm,,,,,,,
I Fought The Law, POA, Silkscreen Print, Signed Limited Edition of 500, 70cm x 70cm,,,,,,,
Lion Hand Finished, å£1--600.00, Giclee Print, Limited Edition of 50, 102cm x 102cm,,,,,,,
Framed Takeaway Coffee, å£1--365.00, Silkscreen Print, Signed Limited Edition of 50, 50cm x 50cm,,,,,,,
Sometimes it‰Ûªs a Yes (Gold), å£1--200.00, Lightbox, Signed Limited Edition of 5, 25cm x 70cm,,,,,,,
Labyrinth Inky, å£1--500.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 4 (SignedåÊ&amp; Numbered Verso), 63cm x 63cm,,,,,,,
Welcome to Hell, POA, Silkscreen on Paper, Limited Edition of 175 (framed), 50cm x 65cm,,,,,,,
Obey Lotus Crescent - White and Gold, å£1--500.00, Silkscreen with Diamond Dust , Signed Limited Edition of 75, 87.3cm x 66.4cm,,,,,,,
Untitled XI-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
Half Pint NYC, SOLD, Giclee with Silkscreen with Metallic Pigment, Signed Limited Edition of 125, 82cm x 115cm,,,,,,,
Union Flag (Greyscale), å£2--950.00, Silkscreen with Diamon Dust, Signed limited edition of 75, 89cm X 72.3cm,,,,,,,
Framed The Wonder of You - Your Smell, POA, Polymer Etching with Lithographic Overlay, Signed Limited Edition of 55, 91.4cm x 66cm,,,,,,,
Gotham Vandal, å£480.00, Silkscreen , Signed Limited Edition of 150, 102cm x 73cm,,,,,,,
Napalm, POA, Screenprint, Limited Edition of 500, 90cm x70cm  (Framed),,,,,,,
Tiger Movement, å£900.00, Giclee Print, Signed Limited Edition of 50, 122cm x 81.5cm,,,,,,,
Let's Not Make Life Anymore Difficult Than It Already Is , å£600.00, Silkscreen Hand Shot by the artist, Signed Limited Edition of 125, 82cm x 115cm,,,,,,,
4 Wheel Suitcase, å£1--200.00, Silkscreen Print, Signed Limited Edition of 50, 50cm X 50cm,,,,,,,
Labyrinth Pinky, å£1--500.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 4 (SignedåÊ&amp; Numbered Verso), 63cm x 63cm,,,,,,,
Obey Lotus Diamond - Black and Gold , å£1--500.00, Silkscreen with Diamond Dust , Signed Limited Edition of 75, 87.3cm x 66.4cm,,,,,,,
A is for Alphabet, å£2--000.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Untitled XII-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
The Wonder of You - Your Taste, POA, Polymer Etching with Lithographic Overlay, Signed Limited Edition of 55, 91.4cm x 66cm,,,,,,,
Rabbit V, å£700.00, Giclee Print, Limited Edition of 50, 76cm x 76cm,,,,,,,
Sometimes it‰Ûªs a Yes, SOLD, Light Box, Signed Limited Edition of 5, 25cm x 70cm,,,,,,,
In deep / Falta , SOLD, Giclee and Silkscreen , Signed Limited Edition of 50, 82cm x 114cm,,,,,,,
Labyrinth Blinky, å£1--500.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 4 (SignedåÊ&amp; Numbered Verso), 63cm x 63cm,,,,,,,
Obey Lotus Diamond - White and Gold , å£1--500.00, Silkscreen with Diamond Dust , Signed Limited Edition of 75, 87.3cm x 66.4cm,,,,,,,
Mickey (Large)-- 2016, POA, åÊSilkscreen with Glitter, Signed and Numbered, Edition of 50, 152.4cm x 122.4cm (Framed),,,,,,
Girl With Balloon, SOLD, Screenprint, Limited Edition of 600, 50cm x 70cm,,,,,,,
B is for Boxer  , å£2--000.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Untitled XIV-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
Conversation Piece (Shot In The Arse), SOLD, Giclee with Silkscreen with Metallic Pigment, Signed Limited Edition of 150, 76.5cm x 96cm,,,,,,,
Ruby Murray, å£200.00, Giclee with Diamond Dust , Signed Limited Edition of 50, 40cm x 50cm,,,,,,,
Rabbit V Hand Finished, å£1--300.00, Giclee Print, Limited Edition of 50, 76cm x 76cm,,,,,,,
Life, å£340.00, Silkscreen Giclee and Glazes, Limited Edition of 40, 84cm x 59cm ,,,,,,,
Juice Carton, å£1--200.00, Silkscreen Print, Signed Limited Edition of 50, 50cm x 50cm,,,,,,,
Kiss (Green and Blue), å£2--500.00, Neon and Perspex, Signed Limited Edition of 5, 95cm x 56cm,,,,,,,
Labyrinth Clyde, å£1--500.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 4 (SignedåÊ&amp; Numbered Verso), 63cm x 63cm,,,,,,,
Shoplifters Welcome - Pink , å£840.00, Silkscreen, Signed Limited Edition of 50, 66.5cm x 87.5cm,,,,,,,
Untitled 11, SOLD, Colour Etching on paper, Signed Limited Edition of 35 (framed), 41.5cm x 50cm,,,,,,,
Minnie (Large)-- 2016, POA, åÊSilkscreen with Glitter, Signed and Numbered, Edition of 50, 152.4cm x 122.4cm (Framed),,,,,,
Grannies, SOLD, Screenprint, Limited Edition of 500, 56cm x 76cm,,,,,,,
D is for Dwarves and Midgets , å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Bird ii, SOLD, Silkscreen and Giclee, Signed Artist Proof, 83.50cm x 70cm,,,,,,,
Rabbit V Gold Leaf, å£2--000.00, Giclee Print with Gold Leaf, Limited Edition of 20, 109cm x 109cm,,,,,,,
Trainer, å£2--160.00, Silkscreen Print, Signed Limited Edition of 30, 93cm X 45cm,,,,,,,
Kiss and Tell, å£550.00, Silkscreen, Giclee and Glazes, Limited Edition of 40, 82cm x 115cm ,,,,,,
Bonus Level- Rainbow Slide, å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
Shoplifters Welcome - Red , å£840.00, Silkscreen, Signed Limited Edition of 50, 66.5cm x 87.5cm,,,,,,,
Sanctum Series: Altar, POA, Photogravure and Etching , Signed Limited Edition of 59, 118.5cm X 115.5cm,,,,,,,
Untitled 9, å£1--580.00, Colour Etching on paper, Signed Limited Edition of 35 (framed), 41.5cm x 50cm,,,,,,,
In Love, å£2--400.00, Neon and Perspex, Signed Limited Edition of 5, 86cm x 79cm,,,,,,,
E is for Everly Brothers, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Being Yourself is Easier When You re Not Being Someone Else, å£425.00, Hand Finished with Gold Foil Silkscreen, Signed Limited Edition of 145, 90cm x 65cm,,,,,,,
Police Kids (Jack and Jill), SOLD, Screenprint, Limited Edition of 350, 70cm x 50cm,,,,,,,
Trolley Hunters, SOLD, Screenprint, Signed Limited Edition of 150, 56cm x 76cm,,,,,,,
You Can Do It, å£2--400.00, Neon and Perspex, Signed Limited Edition of 5, 90cm x 90cm,,,,,,,
Framed Airplane, å£2--753.00, Silkscreen Print, Signed Limited Edition of 30, 129.8cm x 45cm,,,,,,,
Bonus Level- Green & Yellow, å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
Eagle - Diamond Dust, å£1--600.00, Silkscreen with Diamond Dust , Signed Limited Edition of 50, 114cm x 84cm,,,,,,,
Psalm: Miserere mei Deus, å£3--800.00, Silkscreen Print, Signed Limited Edition of 25, 45.7cm x 45.7cm,,,,,,,
Bright Future - Pink , å£840.00, Silkscreen, Signed Limited Edition of 50, 76cm x 76cm,,,,,,,
Untitled 13, SOLD, Colour Etching on paper, Signed Limited Edition of 35 (framed), 41.5cm x 50cm,,,,,,,
F is for Football, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Happiness Ahead, å£2--400.00, Neon and Perspex, Signed Limited Edition of 5, 82cm x 56cm,,,,,,,
Nil by Mouth at 32, å£2--750.00, Felt, Acrylic, and Thread, Limited Edition of 20, Signed Felt Certificate of Authenticity , 58.5cm x 51cm x 12cm,,,,
Hedgehog XL, å£1--600.00, Giclee with Gold Leaf, Signed Limited Edition of 20, 127cm x 105cm,,,,,,,
Press Play - Yellow & Blue, å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
Psalm: Quare Fremuerunt Gentes, å£3--700.00, Silkscreen with Glaze, Signed and Numbered, Limited Edition of 25, 74cm x 71.5cm,,,,,,
Coffee Cup, å£4--200.00, Silkscreen Print, Limited Edition of 35, 90cm x 90cm,,,,,,,
Nola, SOLD, Screenprint, Signed and Numbered, Limited Edition of 289, 58cm x 76cm,,,,,,
I is for Idols, å£2--000.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
CND Soldiers, SOLD, Screenprint, Signed Limited Edition of 350, 70cm x 50cm,,,,,,,
One Love, å£2--400.00, Neon and Perspex, Signed Limited Edition of 5, 60cm diameter,,,,,,,
For the Love of God- White , å£2--250.00, Silkscreen with Glazes and Diamond Dust,  Signed Limited Edition of 1000, 43.5cm x 58.5cm,,,,,,,
Press Play - Blue & Purple, å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
Headphones, SOLD, Silkscreen Print, Limited Edition of 35, 90cm x 90cm,,,,,,,
J is for James Dean, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Flying Owl XL, å£1--600.00, Giclee on Arches Aquarelle Hand Finished with 24 Carat Gold Leaf, Signed Limited Edition of 20, 126cm x 103cm,,,,,,,
Resolve, å£175.00, Silkscreen, Signed Limited Edition of 50, 50cm x 70cm,,,,,,,
We Can Be Heroes, å£2--400.00, Neon and Perspex, Signed Limited Edition of 5, 120cm x 55cm,,,,,,,
Cancer Bingo, å£3--000.00, Felt, Acrylic, and Thread, Limited Edition of 50, Signed Felt Certificate of Authenticity , 54cm x 58.5cm x 5.5cm,,,,
For the Love of God- Black- Believe, å£950.00, Silkscreen with Glaze, Signed and Numbered, Limited Edition of 1700, 24cm x 32.5cm,,,,,,
Highscore- Yellow & Pink, å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
Briefcase, å£4--200.00, Silkscreen Print, Limited Edition of 35, 90cm x 90cm,,,,,,,
Natural Highs II , å£240.00, Silkscreen, Signed Limited Edition of 50, 59.5cm x 48.5cm,,,,,,,
Very Little Helps, SOLD, Silkscreen, Signed Limited Edition of 299, 37cm x 54cm,,,,,,,
K is for King  , å£1--500.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Squirrel XL, å£1--600.00, Giclee with Silkscreen &amp; Gold Leaf, Signed Limited Edition of 20, 127cm x 105cm,,,,,,,
Acid Fluoro Smiley  , å£950.00, Metal Frame, Acrylic Relief, Silkscreen Printed Glass , Signed Limited Edition of 20 , 44cm x 44cm ,,,,,
Resolve (Hand Finished), å£350.00, Silkscreen Hand Finished with Acrylic Paint, Signed Edition of 20, 76cm x 56cm,,,,,,,
I Still Want to Kiss You, å£3--000.00, Neon and Perspex, Signed Limited Edition of 5, 88cm x 76cm,,,,,,,
For The Love Of God - Black Background, å£1--800.00, Silkscreen with Glaze, Signed Limited Edition of 1000,  45cm x 58.5cm,,,,,,,
Highscore- Black & Blue, å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
Mary Whitehouse, å£1--750.00, 2-Layer Silkscreen Printed Mirror in Gloss Wooden Mary Whitehouse Frames, Signed Limited Edition of 5, 122cm x 50cm,,,,,,,
Galia , å£260.00, Silkscreen, Signed Limited Edition of 50, 56cm x 76cm,,,,,,,
Morons (Black and White), SOLD, Silkscreen, Limited Edition of 500, 76.3cm x 56cm,,,,,,,
L is for Love, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Align, å£175.00, Silkscreen, Signed Limited Edition of 50, 56cm x 76cm,,,,,,,
I‰Ûªm Not Sorry, å£2--400.00, Neon and Perspex, Signed Limited Edition of 5, 83cm x 52cm,,,,,,,
If You Love Someone-- Let Them Burn, å£1--000.00, Felt, Acrylic, and Thread, Limited Edition of 20, Signed Felt Certificate of Authenticity, ,,,,
Anomie, å£1--500.00, Silkscreen, Signed Limited Edition of 75, 119cm x 120cm,,,,,,,
